OTU	domain	phylum	class	order	family	genus	species	SRR22993528	SRR22993529	SRR22993530	SRR22993531	SRR22993532	SRR22993533	SRR22993534	SRR22993535	SRR22993536	SRR22993537	SRR22993538	SRR22993539	SRR22993540	SRR22993541	SRR22993542	SRR22993543	SRR22993544	SRR22993545	SRR22993546	SRR22993547	SRR22993548	SRR22993549	SRR22993550	SRR22993551
1	ASV1	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	0	4264	0	37	58	56	0	19	180	318	310	150	52	436	16	0	30	1500	5946	0	5418	8785	426	0
2	ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA	0	3899	0	0	0	0	0	0	0	0	22	0	117	183	0	0	135	607	6635	11	8501	3192	0	0
3	ASV3	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	142	582	605	512	337	361	474	886	745	348	467	1083	87	498	461	1612	0	93	494	63	106	359	592
4	ASV4	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	0	2176	0	0	0	0	0	0	245	1607	68	0	0	1327	68	443	0	135	1133	0	512	1179	155	0
5	ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA	0	0	14	19	10	6	73	3851	851	2851	11	20	28	21	123	28	16	0	0	0	0	0	0	0
6	ASV6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	0	413	0	0	0	0	0	0	0	0	0	0	196	166	0	0	115	108	2020	0	3952	853	0	0
7	ASV7	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	0	1244	0	0	0	0	0	0	387	2064	119	0	0	2275	0	153	0	0	286	0	129	341	145	0
8	ASV8	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	0	33	492	550	304	481	255	347	225	293	676	242	363	185	34	0	363	0	32	350	17	52	216	0
9	ASV9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA	0	121	0	0	0	0	0	0	0	0	0	0	200	62	0	0	162	40	1831	0	1868	653	0	0
10	ASV10	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	379	371	362	331	192	352	260	212	131	302	283	31	47	81	330	0	0	239	0	46	276	262
11	ASV11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	3834	0	0	0	0	0	0	0	0
12	ASV12	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA	0	0	308	202	1021	78	0	183	254	1169	88	21	28	46	57	19	30	7	0	141	2	7	109	0
13	ASV13	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	NA	0	0	81	99	191	112	143	38	203	563	137	68	298	75	486	616	255	0	0	160	12	0	223	0
14	ASV14	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	2195	0	0	0	1373	0	0	0	0	0	0	0
15	ASV15	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA	0	0	108	196	585	154	0	318	79	161	163	0	673	89	79	101	338	0	104	68	104	55	135	0
16	ASV16	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	0	0	0	0	0	0	29	0	0	0	0	0	0	606	0	0	0	2846	0	0	0	0	0	0
17	ASV17	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	0	10	48	61	133	151	63	0	62	80	158	64	611	78	81	28	604	0	32	156	14	36	157	717
18	ASV18	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA	0	72	97	262	373	111	8	190	116	75	145	73	677	73	77	98	317	54	113	32	153	66	111	0
19	ASV19	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	NA	0	1354	0	0	0	0	0	0	0	0	0	0	0	118	0	56	0	115	270	0	455	875	31	0
