Sample	SampleOverview	Season	TakinID
SRR22993528	SRR22993528	ST_Winter_10	Winter	Takin_10
SRR22993529	SRR22993529	ST_Winter_9	Winter	Takin_9
SRR22993530	SRR22993530	ST_Winter_8	Winter	Takin_8
SRR22993531	SRR22993531	ST_Winter_7	Winter	Takin_7
SRR22993532	SRR22993532	ST_Winter_6	Winter	Takin_6
SRR22993533	SRR22993533	ST_Winter_5	Winter	Takin_5
SRR22993534	SRR22993534	ST_Winter_4	Winter	Takin_4
SRR22993535	SRR22993535	ST_Spring_10	Spring	Takin_10
SRR22993536	SRR22993536	ST_Spring_08	Spring	Takin_8
SRR22993537	SRR22993537	ST_Spring_07	Spring	Takin_7
SRR22993538	SRR22993538	ST_Spring_06	Spring	Takin_6
SRR22993539	SRR22993539	ST_Winter_3	Winter	Takin_3
SRR22993540	SRR22993540	ST_Spring_05	Spring	Takin_5
SRR22993541	SRR22993541	ST_Spring_04	Spring	Takin_4
SRR22993542	SRR22993542	ST_Spring_03	Spring	Takin_3
SRR22993543	SRR22993543	ST_Spring_02	Spring	Takin_2
SRR22993544	SRR22993544	ST_Spring_01	Spring	Takin_1
SRR22993545	SRR22993545	ST_Winter_15	Winter	Takin_15
SRR22993546	SRR22993546	ST_Winter_14	Winter	Takin_14
SRR22993547	SRR22993547	ST_Winter_13	Winter	Takin_13
SRR22993548	SRR22993548	ST_Winter_12	Winter	Takin_12
SRR22993549	SRR22993549	ST_Winter_11	Winter	Takin_11
SRR22993550	SRR22993550	ST_Winter_2	Winter	Takin_2
SRR22993551	SRR22993551	ST_Winter_1	Winter	Takin_1
